Date, Open, High, Low, Close
01/03/22, 1.1367, 1.1380, 1.1280, 1.1299
12/31/21, 1.1324, 1.1387, 1.1303, 1.1373
12/30/21, 1.1352, 1.1361, 1.1299, 1.1327
12/29/21, 1.1308, 1.1369, 1.1275, 1.1350
12/28/21, 1.1326, 1.1335, 1.1289, 1.1311
12/27/21, 1.1321, 1.1336, 1.1302, 1.1327
12/24/21, 1.1329, 1.1345, 1.1303, 1.1322
12/23/21, 1.1325, 1.1343, 1.1291, 1.1328
12/22/21, 1.1288, 1.1342, 1.1263, 1.1326
12/21/21, 1.1280, 1.1303, 1.1260, 1.1287
12/20/21, 1.1241, 1.1304, 1.1235, 1.1276
12/17/21, 1.1335, 1.1350, 1.1236, 1.1239
12/16/21, 1.1286, 1.1361, 1.1281, 1.1329
12/15/21, 1.1260, 1.1300, 1.1223, 1.1292
12/14/21, 1.1286, 1.1325, 1.1254, 1.1260
12/13/21, 1.1319, 1.1321, 1.1261, 1.1285
12/10/21, 1.1294, 1.1324, 1.1265, 1.1318
12/09/21, 1.1342, 1.1348, 1.1279, 1.1293
12/08/21, 1.1269, 1.1357, 1.1265, 1.1343
12/07/21, 1.1285, 1.1300, 1.1227, 1.1267
12/06/21, 1.1316, 1.1320, 1.1266, 1.1286
12/03/21, 1.1301, 1.1334, 1.1266, 1.1314
12/02/21, 1.1320, 1.1348, 1.1296, 1.1302
12/01/21, 1.1339, 1.1361, 1.1302, 1.1321
11/30/21, 1.1293, 1.1383, 1.1240, 1.1340
11/29/21, 1.1304, 1.1316, 1.1259, 1.1294
11/26/21, 1.1211, 1.1332, 1.1206, 1.1318
11/25/21, 1.1199, 1.1232, 1.1198, 1.1209
11/24/21, 1.1249, 1.1256, 1.1186, 1.1200
11/23/21, 1.1237, 1.1276, 1.1226, 1.1248
11/22/21, 1.1289, 1.1294, 1.1231, 1.1235
11/19/21, 1.1372, 1.1376, 1.1249, 1.1280
11/18/21, 1.1321, 1.1376, 1.1314, 1.1374
11/17/21, 1.1321, 1.1334, 1.1264, 1.1319
11/16/21, 1.1368, 1.1387, 1.1309, 1.1321
11/15/21, 1.1446, 1.1464, 1.1357, 1.1366
11/12/21, 1.1449, 1.1462, 1.1435, 1.1444
11/11/21, 1.1480, 1.1489, 1.1442, 1.1448
11/10/21, 1.1594, 1.1597, 1.1478, 1.1478
11/09/21, 1.1588, 1.1609, 1.1570, 1.1596
11/08/21, 1.1551, 1.1597, 1.1550, 1.1587
11/05/21, 1.1555, 1.1575, 1.1514, 1.1567
11/04/21, 1.1614, 1.1619, 1.1528, 1.1557
11/03/21, 1.1581, 1.1617, 1.1563, 1.1611
11/02/21, 1.1606, 1.1615, 1.1576, 1.1580
11/01/21, 1.1563, 1.1610, 1.1545, 1.1605
10/29/21, 1.1683, 1.1691, 1.1535, 1.1563
10/28/21, 1.1604, 1.1693, 1.1583, 1.1683
10/27/21, 1.1597, 1.1627, 1.1584, 1.1603
10/26/21, 1.1608, 1.1627, 1.1584, 1.1596
10/25/21, 1.1645, 1.1666, 1.1591, 1.1610
10/22/21, 1.1623, 1.1657, 1.1621, 1.1646
10/21/21, 1.1652, 1.1668, 1.1620, 1.1626
10/20/21, 1.1634, 1.1660, 1.1617, 1.1650
10/19/21, 1.1612, 1.1670, 1.1608, 1.1632
10/18/21, 1.1601, 1.1624, 1.1571, 1.1614
10/15/21, 1.1599, 1.1621, 1.1587, 1.1599
10/14/21, 1.1595, 1.1625, 1.1583, 1.1600
10/13/21, 1.1529, 1.1599, 1.1527, 1.1596
10/12/21, 1.1554, 1.1571, 1.1524, 1.1531
10/11/21, 1.1580, 1.1587, 1.1549, 1.1555
10/08/21, 1.1554, 1.1585, 1.1542, 1.1577
10/07/21, 1.1558, 1.1574, 1.1548, 1.1553
10/06/21, 1.1600, 1.1605, 1.1529, 1.1559
